company,ticker,fiscal_year,metric,value,unit,source_file,source_section,source_quote,confidence
NVIDIA,NVDA,2022,revenue,26914000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax; context=i2c5e111a942340e08ad1e8d2e3b0fb71_D20210201-20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV8xNzUvZnJhZzozZGEzZGU5YjFkMjU0MDQ0OTdkNmQxZmU0NGIwNTZjOC90YWJsZToyNDAxM2VlYzcwMDA0N2RmYWUyNjk3MWQ1NmM4YWEyZi90YWJsZXJhbmdlOjI0MDEzZWVjNzAwMDQ3ZGZhZTI2OTcxZDU2YzhhYTJmXzQtNy0xLTEtMTcwNDY_a064b8b7-e20d-421a-87e8-1b960b29c8c3,"Revenue $ 15,868 $ 11,046 $ — $ 26,914",high
NVIDIA,NVDA,2022,gross_profit,17475000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:GrossProfit; context=i2c5e111a942340e08ad1e8d2e3b0fb71_D20210201-20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV85NC9mcmFnOjliYTkzZDNmMjllNDRkNWU4ZjRmOThhZWE2MDNmOTk3L3RhYmxlOmM2MWVkMzUzNjIwYjQ5MzdhMzg1NDNiZjdkMjZiYzRiL3RhYmxlcmFuZ2U6YzYxZWQzNTM2MjBiNDkzN2EzODU0M2JmN2QyNmJjNGJfNC0xLTEtMS0xNzA0Ng_d80665a8-24dc-46e3-9a08-d8df97c7c622,"Gross profit 17,475 10,396 6,768",high
NVIDIA,NVDA,2022,operating_income,10041000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:OperatingIncomeLoss; context=i2c5e111a942340e08ad1e8d2e3b0fb71_D20210201-20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV85NC9mcmFnOjliYTkzZDNmMjllNDRkNWU4ZjRmOThhZWE2MDNmOTk3L3RhYmxlOmM2MWVkMzUzNjIwYjQ5MzdhMzg1NDNiZjdkMjZiYzRiL3RhYmxlcmFuZ2U6YzYxZWQzNTM2MjBiNDkzN2EzODU0M2JmN2QyNmJjNGJfOS0xLTEtMS0xNzA0Ng_206d6968-4d77-4120-9dcf-3a5964ab344e,"Income from operations 10,041 4,532 2,846",high
NVIDIA,NVDA,2022,net_income,9752000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:NetIncomeLoss; context=i2c5e111a942340e08ad1e8d2e3b0fb71_D20210201-20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV85NC9mcmFnOjliYTkzZDNmMjllNDRkNWU4ZjRmOThhZWE2MDNmOTk3L3RhYmxlOmM2MWVkMzUzNjIwYjQ5MzdhMzg1NDNiZjdkMjZiYzRiL3RhYmxlcmFuZ2U6YzYxZWQzNTM2MjBiNDkzN2EzODU0M2JmN2QyNmJjNGJfMTYtMS0xLTEtMTcwNDY_0f631ab2-c7a9-4c22-8c1f-b725e69250eb,"Net income $ 9,752 $ 4,332 $ 2,796",high
NVIDIA,NVDA,2022,total_assets,44187000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:Assets; context=id96ab824bfb147c2acf941e9f0bf2169_I20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV8xMDAvZnJhZzozOGI2M2IzM2M3Nzk0MGU5YmU2ZWI4Mjg2NzYwMmQzZC90YWJsZTo2ODU0NjcyZWExM2E0NDkxYmQzODY4NWQwMGQ3NWQ1Mi90YWJsZXJhbmdlOjY4NTQ2NzJlYTEzYTQ0OTFiZDM4Njg1ZDAwZDc1ZDUyXzE1LTEtMS0xLTE3MDQ2_ac0fef57-e4d3-4529-a1fb-5890337ddef3,"Total assets $ 44,187 $ 28,791",high
NVIDIA,NVDA,2022,total_liabilities,17575000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:Liabilities; context=id96ab824bfb147c2acf941e9f0bf2169_I20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV8xMDAvZnJhZzozOGI2M2IzM2M3Nzk0MGU5YmU2ZWI4Mjg2NzYwMmQzZC90YWJsZTo2ODU0NjcyZWExM2E0NDkxYmQzODY4NWQwMGQ3NWQ1Mi90YWJsZXJhbmdlOjY4NTQ2NzJlYTEzYTQ0OTFiZDM4Njg1ZDAwZDc1ZDUyXzI2LTEtMS0xLTE3MDQ2_cf905ec1-996c-4f8d-a736-bd82e40a7821,"Total liabilities 17,575 11,898",high
NVIDIA,NVDA,2022,stockholders_equity,26612000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:StockholdersEquity; context=id96ab824bfb147c2acf941e9f0bf2169_I20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV8xMDAvZnJhZzozOGI2M2IzM2M3Nzk0MGU5YmU2ZWI4Mjg2NzYwMmQzZC90YWJsZTo2ODU0NjcyZWExM2E0NDkxYmQzODY4NWQwMGQ3NWQ1Mi90YWJsZXJhbmdlOjY4NTQ2NzJlYTEzYTQ0OTFiZDM4Njg1ZDAwZDc1ZDUyXzM2LTEtMS0xLTE3MDQ2_16e6ba3c-63c1-4651-a4d8-4cc36e521c51,"Total shareholders' equity 26,612 16,893",high
NVIDIA,NVDA,2022,operating_cash_flow,9108000000,USD,data/filings/NVDA_2022_10K.htm,us-gaap:NetCashProvidedByUsedInOperatingActivities; context=i2c5e111a942340e08ad1e8d2e3b0fb71_D20210201-20220130; fact_id=id3VybDovL2RvY3MudjEvZG9jOjIxZDBmYWE5NmE2YzQ4YmZhYjY0NDUzZWYzY2UzZDQ5L3NlYzoyMWQwZmFhOTZhNmM0OGJmYWI2NDQ1M2VmM2NlM2Q0OV8xMTIvZnJhZzozMDk2Njg1NDU0YTk0ZDljOGRkMWVkMjA2N2YxYTI2Ni90YWJsZToyODkxYmZiOTA0ZDk0NWIzOTg4MmU1NDgyM2E5NTVmOS90YWJsZXJhbmdlOjI4OTFiZmI5MDRkOTQ1YjM5ODgyZTU0ODIzYTk1NWY5XzE4LTEtMS0xLTE3MDQ2_148037a1-a878-404a-a57e-778821c10ab7,"Net cash provided by operating activities 9,108 5,822 4,761",high
NVIDIA,NVDA,2023,revenue,26974000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:Revenues; context=i793edb174e3c4f8499d46ce84a602d1b_D20220131-20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV85Ny9mcmFnOjZmYzdlYTc1OTNhMDQ4OGJiNjA5OWUwYmY4MTU2NmE2L3RhYmxlOjRhOTEyMTRmYTdhYTQ5ZGVhNzExYWM1OWI3YjJiY2NmL3RhYmxlcmFuZ2U6NGE5MTIxNGZhN2FhNDlkZWE3MTFhYzU5YjdiMmJjY2ZfMi0xLTEtMS02NjIwMA_2bf1423a-72e7-4a88-8f04-74e849305a32,"Revenue $ 26,974 $ 26,914 $ 16,675",high
NVIDIA,NVDA,2023,gross_profit,15356000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:GrossProfit; context=i793edb174e3c4f8499d46ce84a602d1b_D20220131-20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV85Ny9mcmFnOjZmYzdlYTc1OTNhMDQ4OGJiNjA5OWUwYmY4MTU2NmE2L3RhYmxlOjRhOTEyMTRmYTdhYTQ5ZGVhNzExYWM1OWI3YjJiY2NmL3RhYmxlcmFuZ2U6NGE5MTIxNGZhN2FhNDlkZWE3MTFhYzU5YjdiMmJjY2ZfNC0xLTEtMS02NjIwMA_d01985f8-8500-4ff8-b719-acf621c127a7,"Gross profit 15,356 17,475 10,396",high
NVIDIA,NVDA,2023,operating_income,4224000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:OperatingIncomeLoss; context=i793edb174e3c4f8499d46ce84a602d1b_D20220131-20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV85Ny9mcmFnOjZmYzdlYTc1OTNhMDQ4OGJiNjA5OWUwYmY4MTU2NmE2L3RhYmxlOjRhOTEyMTRmYTdhYTQ5ZGVhNzExYWM1OWI3YjJiY2NmL3RhYmxlcmFuZ2U6NGE5MTIxNGZhN2FhNDlkZWE3MTFhYzU5YjdiMmJjY2ZfOS0xLTEtMS02NjIwMA_4bddb1bf-5ed7-44f3-887e-48bed7169239,"Income from operations 4,224 10,041 4,532",high
NVIDIA,NVDA,2023,net_income,4368000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:NetIncomeLoss; context=i793edb174e3c4f8499d46ce84a602d1b_D20220131-20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV85Ny9mcmFnOjZmYzdlYTc1OTNhMDQ4OGJiNjA5OWUwYmY4MTU2NmE2L3RhYmxlOjRhOTEyMTRmYTdhYTQ5ZGVhNzExYWM1OWI3YjJiY2NmL3RhYmxlcmFuZ2U6NGE5MTIxNGZhN2FhNDlkZWE3MTFhYzU5YjdiMmJjY2ZfMTYtMS0xLTEtNjYyMDA_bfadea04-7eed-4cf4-a8eb-4eada50f4c61,"Net income $ 4,368 $ 9,752 $ 4,332",high
NVIDIA,NVDA,2023,total_assets,41182000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:Assets; context=i09aa2d0339d44ae0ab29b1068c498c27_I20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV8xMDMvZnJhZzo0MGFmNDY2YWY0OWQ0YmRiOWE4Mjk4MTUzZWRlNDliNy90YWJsZToyY2Q4YzI2ZjZhMzQ0NjJkYWQ2N2EzNmMxZTg1ZmI2Ni90YWJsZXJhbmdlOjJjZDhjMjZmNmEzNDQ2MmRhZDY3YTM2YzFlODVmYjY2XzE1LTEtMS0xLTY2MjAw_988e4f91-2e70-4819-a6a1-e36a0bb2966f,"Total assets $ 41,182 $ 44,187",high
NVIDIA,NVDA,2023,total_liabilities,19081000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:Liabilities; context=i09aa2d0339d44ae0ab29b1068c498c27_I20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV8xMDMvZnJhZzo0MGFmNDY2YWY0OWQ0YmRiOWE4Mjk4MTUzZWRlNDliNy90YWJsZToyY2Q4YzI2ZjZhMzQ0NjJkYWQ2N2EzNmMxZTg1ZmI2Ni90YWJsZXJhbmdlOjJjZDhjMjZmNmEzNDQ2MmRhZDY3YTM2YzFlODVmYjY2XzI2LTEtMS0xLTY2MjAw_84ace3a3-12c4-4e83-b078-a4e31babbcf8,"Total liabilities 19,081 17,575",high
NVIDIA,NVDA,2023,stockholders_equity,22101000000,USD,data/filings/NVDA_2023_10K.htm,us-gaap:StockholdersEquity; context=i09aa2d0339d44ae0ab29b1068c498c27_I20230129; fact_id=id3VybDovL2RvY3MudjEvZG9jOjhjZTVjMjViOTM4NDQ1YjFiZWM4MzU3NzdkNmNlY2U5L3NlYzo4Y2U1YzI1YjkzODQ0NWIxYmVjODM1Nzc3ZDZjZWNlOV8xMDMvZnJhZzo0MGFmNDY2YWY0OWQ0YmRiOWE4Mjk4MTUzZWRlNDliNy90YWJsZToyY2Q4YzI2ZjZhMzQ0NjJkYWQ2N2EzNmMxZTg1ZmI2Ni90YWJsZXJhbmdlOjJjZDhjMjZmNmEzNDQ2MmRhZDY3YTM2YzFlODVmYjY2XzM2LTEtMS0xLTY2MjAw_eaf035a1-e1b8-4963-b9ab-34a42aa92faa,"Total shareholders' equity 22,101 26,612",high
